Date	ID	PS
2012-08-31	NFLX	0.95954
2012-09-28	AMZN	2.11598
2012-09-28	MSFT	3.37943
2012-09-28	NFLX	0.8747
2012-10-31	AMZN	1.84261
2012-10-31	MSFT	3.32031
2012-10-31	NFLX	1.24347
2012-11-30	AMZN	1.99418
2012-11-30	MSFT	3.09636
2012-11-30	NFLX	1.28224
2012-12-31	AMZN	1.98484
2012-12-31	MSFT	3.10738
2012-12-31	NFLX	1.45297
2013-01-31	AMZN	1.97301
2013-01-31	MSFT	3.15136
2013-01-31	NFLX	2.54489
2013-02-28	AMZN	1.96387
2013-02-28	MSFT	3.19154
2013-02-28	NFLX	2.89665
2013-03-29	AMZN	1.98037
2013-03-29	MSFT	3.28396
2013-03-29	NFLX	2.91513
2013-04-30	AMZN	1.80505
2013-04-30	MSFT	3.63564
2013-04-30	NFLX	3.22338
2013-05-31	AMZN	1.9145
2013-05-31	MSFT	3.83334
2013-05-31	NFLX	3.37525
2013-06-28	AMZN	1.97488
2013-06-28	MSFT	3.79435
2013-06-28	NFLX	3.14909
2013-07-31	AMZN	2.05926
2013-07-31	MSFT	3.40613
2013-07-31	NFLX	3.65285
2013-08-30	AMZN	1.92089
2013-08-30	MSFT	3.57301
2013-08-30	NFLX	4.24192
2013-09-30	AMZN	2.13733
2013-09-30	MSFT	3.56017
2013-09-30	NFLX	4.61993
2013-10-31	AMZN	2.37725
2013-10-31	MSFT	3.67662
2013-10-31	NFLX	4.61072
2013-11-29	AMZN	2.57048
2013-11-29	MSFT	3.9596
2013-11-29	NFLX	5.2301
2013-12-31	AMZN	2.60424
2013-12-31	MSFT	3.88483
2013-12-31	NFLX	5.26398
2014-01-31	AMZN	2.21131
2014-01-31	MSFT	3.76436
2014-01-31	NFLX	5.57746
2014-02-28	AMZN	2.23233
2014-02-28	MSFT	3.81112
2014-02-28	NFLX	6.07207
2014-03-31	AMZN	2.07368
2014-03-31	MSFT	4.07773
2014-03-31	NFLX	4.7967
2014-04-30	AMZN	1.79074
2014-04-30	MSFT	4.00379
2014-04-30	NFLX	4.17755
2014-05-30	AMZN	1.84032
2014-05-30	MSFT	4.05731
2014-05-30	NFLX	5.42016
2014-06-30	AMZN	1.91233
2014-06-30	MSFT	4.13263
2014-06-30	NFLX	5.71553
2014-07-31	AMZN	1.76861
2014-07-31	MSFT	4.09516
2014-07-31	NFLX	5.19278
2014-08-29	AMZN	1.91581
2014-08-29	MSFT	4.31055
2014-08-29	NFLX	5.86743
2014-09-30	AMZN	1.82201
2014-09-30	MSFT	4.39879
2014-09-30	NFLX	5.54239
2014-10-31	AMZN	1.65904
2014-10-31	MSFT	4.23553
2014-10-31	NFLX	4.55481
2014-11-28	AMZN	1.83925
2014-11-28	MSFT	4.31311
2014-11-28	NFLX	4.01928
2014-12-31	AMZN	1.6856
2014-12-31	MSFT	4.19042
2014-12-31	NFLX	3.96153
2015-01-30	AMZN	1.85257
2015-01-30	MSFT	3.55255
2015-01-30	NFLX	4.84893
2015-02-27	AMZN	1.9865
2015-02-27	MSFT	3.85592
2015-02-27	NFLX	5.21233
2015-03-31	AMZN	1.94438
2015-03-31	MSFT	3.57497
2015-03-31	NFLX	4.57334
2015-04-30	AMZN	2.13724
2015-04-30	MSFT	4.16341
2015-04-30	NFLX	5.80875
2015-05-29	AMZN	2.17499
2015-05-29	MSFT	4.01105
2015-05-29	NFLX	6.51394
2015-06-30	AMZN	2.19962
2015-06-30	MSFT	3.77908
2015-06-30	NFLX	6.85714
2015-07-31	AMZN	2.61894
2015-07-31	MSFT	4.00578
2015-07-31	NFLX	7.9674
2015-08-31	AMZN	2.50532
2015-08-31	MSFT	3.73301
2015-08-31	NFLX	8.01758
2015-09-30	AMZN	2.50044
2015-09-30	MSFT	3.79648
2015-09-30	NFLX	7.19722
2015-10-30	AMZN	2.91831
2015-10-30	MSFT	4.63191
2015-10-30	NFLX	7.19159
2015-11-30	AMZN	3.09969
2015-11-30	MSFT	4.78238
2015-11-30	NFLX	8.1836
2015-12-31	AMZN	3.15139
2015-12-31	MSFT	4.88181
2015-12-31	NFLX	7.58972
2016-01-29	AMZN	2.58373
2016-01-29	MSFT	4.9565
2016-01-29	NFLX	5.79718
2016-02-29	AMZN	2.43196
2016-02-29	MSFT	4.57772
2016-02-29	NFLX	5.89628
2016-03-31	AMZN	2.61295
2016-03-31	MSFT	4.96909
2016-03-31	NFLX	6.45302
2016-04-29	AMZN	2.74495
2016-04-29	MSFT	4.51715
2016-04-29	NFLX	5.38222
2016-05-31	AMZN	3.00796
2016-05-31	MSFT	4.80066
2016-05-31	NFLX	6.1319
2016-06-30	AMZN	2.97812
2016-06-30	MSFT	4.6349
2016-06-30	NFLX	5.46891
2016-07-29	AMZN	2.98147
2016-07-29	MSFT	5.18703
2016-07-29	NFLX	5.1309
2016-08-31	AMZN	3.02214
2016-08-31	MSFT	5.25841
2016-08-31	NFLX	5.47952
2016-09-30	AMZN	3.28991
2016-09-30	MSFT	5.27122
